PlayerScore0,PlayerScore1,PlayerScore10,PlayerScore11,PlayerScore2,PlayerScore3,PlayerScore4,PlayerScore5,PlayerScore6,PlayerScore7,PlayerScore8,PlayerScore9,allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerAugment5,playerAugment6,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,retreatPings,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchId,missions.playerScore0,missions.playerScore1,missions.playerScore2,missions.playerScore3,missions.playerScore4,missions.playerScore5,missions.playerScore6,missions.playerScore7,missions.playerScore8,missions.playerScore9,missions.playerScore10,missions.playerScore11,bountyLevel
0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,16482,17,58,Renekton,0,10,3,1782,4710,1782,27650,0,7,1,0,0,True,6,14,False,False,False,False,False,False,13,11303,11050,0,TOP,0,0,0,3155,3071,1037,3173,6692,1054,3340,21,1,6,TOP,0,3,1,424,7138,2900,20528,0,0,0,0,0,0,0,7,1,0,125817,22485,16718,0,0,0,0,0,0,0,0,552,1,VSHI36f4xlw8kxwHqqTcAk5EgV2L5w-QdWGzDll-8w-xVufayJvNDPTADkKznzuxIn59Zb7L9ud3ow,0,0,YeZ Brutalz,EUW,SOLO,0,87,40,118,8,0,4,4,5,14,tvNyyCC5xRAkpaIuTLyxfdbJNumWDySW7vXJRV095swKg3M,647,,False,100,TOP,23,1674,0,137515,26741,0,38974,0,7850,0,168,29,252,1,0,4559,1355,1728,1,1,2,0,0,18,1,2,11,True,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,1,0,18428,18,64,LeeSin,0,5,3,1367,55546,1367,47618,0,3,2,1,3,True,10,0,False,False,False,False,False,False,11,15820,12425,0,JUNGLE,0,2,0,6610,6692,3123,3156,3173,1028,3340,19,2,11,JUNGLE,332,6,2,803,52750,3054,10275,0,194,0,0,1,0,0,15,2,0,143185,19512,27956,0,0,0,0,0,0,0,0,7,0,RSWJH79MukL3fFgmCj2jES0B_fSVzik4Wcc9mt4r9KvUv1yemAVkdqbHiQKv0NXl_vut5vSe2-vPBg,0,4,Tay Keith,SMT,NONE,0,277,172,199,9,0,18,11,3,4,H5Bih7vf_1bZuPNGYYUnHXxXiOE1F_Zg-Fydr40TChq1HPm819P8c9LTfw,176,,False,100,JUNGLE,24,1674,100,290216,23208,1488,38964,42,24907,0,29,633,95,1,0,94279,640,732,0,4,2,0,0,22,3,0,12,True,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18827,18,131,Diana,0,0,4,12229,16697,12229,28701,0,6,2,2,0,True,3,0,False,False,False,True,False,False,1,17970,15350,0,MIDDLE,0,0,0,3157,4646,1082,4645,3175,3089,3364,21,4,18,MIDDLE,0,8,2,391,183359,36973,9307,0,16,1,0,1,0,0,1,3,0,18925,2286,12688,0,0,0,0,0,0,0,0,657,0,eIgqSTcxe5GsxvY0_oW3m2yobQVKIR_Hdn37O7tTLtjo2nFrJEyd4ojP7mV8_rF-SfDKWXYMnKQ5Iw,0,0,Sloron1,EUW,SOLO,0,101,51,59,9,0,3,4,5,14,3KRElvJZwrPGLldiSqSTQmrS1GBB1AWf3FL5ozjHzxErzF8,770,,False,100,MIDDLE,11,1674,0,207262,42215,0,23677,10,1947,0,205,108,193,1,0,4977,2955,1681,5,6,2,0,0,25,2,2,8,True,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,16040,16,523,Aphelios,0,4,1,4678,25302,4678,9969,0,4,0,0,0,True,2,0,False,False,False,False,False,False,1,11937,11025,0,BOTTOM,1,2,0,3170,1038,6672,3046,1037,1018,3363,18,0,2,BOTTOM,613,0,1,406,2216,1320,4809,0,4,0,0,0,0,0,6,4,0,182686,16422,8499,0,0,0,0,0,0,0,0,3190,0,BBHo-vmrrnvds3yK_P3T-zDSxqgGOm5gF-wbtz1zRmk-iOcwE_Fx2M7G6a4KLLmZQhddhABNLEWrOg,0,0,hasagiv1,Gach,CARRY,0,78,152,0,6,0,3,21,2,4,G-HWuO36u4x3KMmsVHi5qBretyH8h70ffekPSn4Y0gpWFPg,252,,False,100,BOTTOM,15,1674,4,186184,17893,0,13519,0,3912,0,234,161,92,1,0,1281,149,211,3,3,2,0,0,13,0,3,8,True,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,11899,14,76,Nidalee,0,8,8,2364,9201,2364,6798,0,3,5,0,0,True,5,1,False,False,False,False,False,False,0,9601,7125,0,UTILITY,1,2,0,3158,3870,3114,6620,6617,1082,3364,23,1,3,BOTTOM,0,2,1,1094,23384,8111,10858,0,0,0,0,1,0,0,20,5,0,7465,1531,6466,0,0,0,0,0,0,0,0,4459,0,9VUADHLzoeDMdSXhu5Ohupm8m7QWzHiyI2PY-aG6QL46LgcOwIGVoUar09MUGFm86oDbBz1wXcb4Jg,0,3,kr6249wx77zz,777,SUPPORT,0,115,154,96,109,0,2,4,6,7,GVlDLmOcDeBibCKlXUgAV_R4_CAwVVohieJU3KrkggpjTe0ktKrgm7qVSg,57,,False,100,UTILITY,0,1674,0,33621,9642,1156,17748,0,17767,11697,37,1,86,5,0,2772,0,423,0,4,2,0,0,94,5,17,33,True,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,13810,15,8,Vladimir,0,0,0,2532,2532,2532,13541,0,9,0,0,0,True,7,0,False,True,False,False,False,False,0,9555,8900,0,TOP,0,0,2,4629,4633,1058,0,0,3020,3340,17,0,2,TOP,0,0,1,420,120966,15304,8025,0,0,0,1,0,0,0,2,6,0,9452,1685,22871,0,0,0,0,0,0,0,0,2076,1,nk_tl8M95xxcR3DDqSiWOFgBiVP4ww1VlEYNAwP1Q6M8jrMb5jeO4CX_Th7rqHDkY0s4FlcooDL5sA,0,0,BOMBE NUCLÉAIRE,NUKE,SOLO,0,240,18,70,10,0,7,14,4,4,Yuj-iSVYgYzGDZEcEtP7g4VZ2WM9_iusS6Ljfm_WGXv3n4Y4O1wXRaRwvA,61,,False,200,TOP,6,1674,0,131901,18472,0,33179,0,18454,0,202,125,276,1,0,1482,1482,2282,1,1,10,0,0,17,0,0,9,False,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,13,7,12,0,0,10722,13,9,FiddleSticks,0,12,11,0,3570,0,17107,0,8,8,0,0,True,3,16,False,False,False,False,False,False,4,10599,10000,0,JUNGLE,0,0,2,6653,2420,2055,1082,3118,3020,3330,25,2,6,JUNGLE,0,2,1,410,118895,27017,12805,3,101,0,1,0,0,0,26,7,0,4352,127,23454,0,0,0,0,0,0,0,0,5961,0,my6pa34M1n_7fhE7Om-LM3SU0kUTDZiSzao081UrabL3QfvJ-57Y1ZmUyDZstu-B-AEOTeMuAz4Cew,0,6,xAllow,ESP,NONE,0,39,136,56,10,0,13,11,4,4,EAg509b_CKeezH6usrNJQxFsPUquAc4dELrQKfmGBM21do8,1104,,False,200,JUNGLE,60,1674,85,157622,28010,0,36536,0,17250,0,26,630,276,1,0,34375,865,275,0,0,10,0,0,57,10,6,8,False,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14736,16,238,Zed,0,3,3,2405,3504,2405,15442,0,9,0,0,0,True,6,6,False,False,False,False,False,False,0,12591,11950,0,MIDDLE,0,0,2,1054,3161,6692,3111,3071,3134,3364,24,2,8,MIDDLE,0,4,1,336,8194,1031,14477,0,0,0,1,0,0,0,19,8,0,141572,21406,14141,0,0,0,0,0,0,0,0,3002,0,WT3m31nUMB0Htl9Y5Bm5Q6C9AZJYvzQ4QpgRQdeycrM20p_w5F4gbY_a0UJgfaXY3jBTMOzW22Bc8g,0,0,GeminiØus,ZED,SOLO,0,93,105,103,19,0,4,4,5,14,Uk89FfQMSBkII_1DKziWbOhgyrhbfpGn0zufqWSZkPeGLdg,1035,,False,200,MIDDLE,8,1674,0,151249,23792,0,30246,0,2665,0,209,132,232,1,0,1482,1354,1628,1,1,10,0,0,8,0,1,3,False,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11085,13,221,Zeri,0,8,2,463,4351,463,11046,0,7,1,1,0,True,0,0,False,False,False,False,False,False,0,10497,9225,0,BOTTOM,0,0,2,3032,3085,3006,1055,1038,1018,3363,15,1,6,BOTTOM,367,3,2,583,13706,4177,7939,0,5,0,1,0,0,0,1,9,0,76114,14005,13471,0,0,0,0,0,0,0,0,6912,0,ta86w_McHyKYfXLg5gGXk9v6ooIz0ojjXmd1bre7k_9y996XFCn7piWu94E7X1oB4XHQtHC-Ky0nSg,0,1,Gh0st Guy,EUW,CARRY,0,433,46,29,8,0,4,21,4,4,VSxQ6lQzORr6TToDEnXpwNOdGi5xGkQI0viKqQ9VisJyhaU,874,,False,200,BOTTOM,7,1674,5,118826,18533,0,21702,0,2092,0,179,114,256,1,0,29004,349,292,0,0,10,0,0,24,1,6,10,False,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9751,12,72,Skarner,0,1,5,0,0,0,25941,0,7,3,0,0,True,1,1,False,False,False,False,False,False,0,7114,6925,0,UTILITY,0,0,2,3190,3109,3076,3876,3158,0,3364,20,0,1,BOTTOM,6,0,1,590,6547,3667,11907,0,0,0,1,0,0,0,0,10,0,13033,5299,13616,0,0,0,0,0,0,0,0,18,0,2WmGonGekqJaQ4vvaxuSnZLeNUu6JqOZSGzzDq4ZGZhp_igFc8CJ6WMMKjVgFOteooDwDnYsqvU9Uw,0,0,Rylizz,EUW,SUPPORT,0,149,44,25,8,0,6,14,3,4,FFjn28sL8WPB1v_3JYvfCzDs0Iiw8Jlz_giDw2jM-ZRL,519,,False,200,UTILITY,35,1674,0,21035,9691,1074,26146,0,2321,218,26,216,205,3,0,1453,725,622,0,0,10,0,0,65,3,7,29,False,EUW1_7489152259,0,0,0,0,0,0,0,0,0,0,0,0,
